bedrooms,bathrooms,sqft,age_years,garage_spaces,neighborhood,price
3,1,1693,36,2,Waterfront,474372
3,1,1646,14,2,Suburbs,273828
4,2,2171,27,2,Downtown,455311
2,3,1584,17,2,Waterfront,525379
2,1,895,33,2,Waterfront,268754
2,1,1556,21,0,Waterfront,466403
2,1,1847,10,1,Suburbs,280770
3,2,2761,12,0,Waterfront,788198
3,2,1755,3,3,Downtown,419799
2,2,2256,21,1,Downtown,440026
4,2,1916,6,1,Suburbs,338904
1,3,2613,42,2,Downtown,499082
1,3,2579,23,3,Suburbs,400154
4,2,2588,3,2,Suburbs,446096
2,3,1133,27,0,Suburbs,191504
3,1,2103,14,0,Downtown,436833
1,1,2379,0,1,Downtown,422496
5,1,2191,2,1,Suburbs,425875
5,2,2318,13,0,Suburbs,398752
4,1,2029,37,2,Waterfront,602166
2,3,1628,49,3,Waterfront,475721
1,2,1151,0,1,Suburbs,206181
2,3,1677,37,2,Waterfront,484404
1,1,3339,37,2,Downtown,604827
4,1,1757,20,1,Downtown,362893
4,1,1020,47,2,Waterfront,365856
5,2,2366,28,1,Suburbs,429318
2,3,2428,4,1,Rural,270752
5,2,2644,48,2,Suburbs,444296
2,2,2235,9,1,Waterfront,631974
5,1,2423,27,3,Suburbs,388138
3,2,2920,20,1,Suburbs,451435
3,2,1627,49,2,Suburbs,298051
3,1,1528,6,2,Waterfront,514582
3,2,1453,2,1,Suburbs,272575
1,1,1867,44,0,Rural,161995
3,1,2717,46,2,Downtown,508375
4,1,2264,19,2,Downtown,452170
4,1,2244,18,2,Suburbs,385332
1,2,1090,34,2,Suburbs,177971
3,1,1653,3,2,Waterfront,515481
3,1,1082,4,2,Suburbs,218310
3,2,2586,0,2,Suburbs,448422
5,2,2793,3,2,Suburbs,478847
2,3,2390,11,2,Suburbs,410053
5,2,1507,26,2,Waterfront,542670
2,2,2741,41,1,Downtown,542943
3,3,1873,22,2,Suburbs,340819
3,2,1393,24,2,Rural,186266
5,2,1518,20,1,Waterfront,509403
5,2,1785,23,0,Suburbs,336833
2,2,2025,24,1,Suburbs,308311
4,3,1919,44,2,Downtown,422556
2,2,1294,45,2,Suburbs,211798
5,2,2607,31,1,Waterfront,828116
5,3,1925,31,2,Suburbs,365969
1,1,1643,4,2,Downtown,329205
5,3,2555,35,1,Downtown,521797
1,1,1408,45,2,Downtown,274206
4,3,1186,41,3,Downtown,293142
2,3,2636,48,2,Downtown,498957
2,2,2946,41,2,Suburbs,469191
1,1,1769,38,3,Downtown,360339
2,2,1977,15,2,Downtown,374796
5,1,1427,32,1,Suburbs,275518
3,3,2003,48,2,Downtown,415319
1,3,1762,20,2,Downtown,378119
2,1,1949,8,2,Suburbs,315027
1,2,2205,5,1,Downtown,427548
1,2,1451,44,2,Suburbs,235740
3,2,1819,34,0,Downtown,369813
5,2,1098,38,3,Waterfront,422072
1,3,1823,21,1,Rural,182322
2,3,1953,40,1,Waterfront,574607
4,3,2114,4,2,Suburbs,426258
1,3,2120,41,0,Waterfront,592678
1,3,2452,22,2,Suburbs,430555
3,2,1230,16,3,Downtown,309491
5,2,1257,11,2,Suburbs,286277
4,2,2264,22,1,Waterfront,702209
2,2,981,15,1,Suburbs,188015
4,3,2092,2,2,Downtown,465607
2,3,1410,29,3,Waterfront,460847
5,3,2786,21,2,Waterfront,894074
2,1,2125,8,2,Downtown,416521
3,2,1890,28,1,Suburbs,355271
3,2,2614,46,2,Downtown,491535
3,3,1468,36,2,Waterfront,490068
3,2,1563,22,1,Downtown,353367
4,2,1369,12,1,Suburbs,253858
5,3,1567,31,2,Waterfront,518860
2,1,2031,45,0,Suburbs,330194
2,1,2247,46,1,Suburbs,351114
3,1,2481,47,2,Suburbs,415873
3,3,1088,22,1,Downtown,243986
1,2,1914,44,0,Suburbs,319749
5,3,1446,16,2,Downtown,305525
4,3,1897,39,2,Suburbs,343627
2,2,3167,20,2,Downtown,640110
1,1,2146,1,2,Suburbs,354496
1,1,2450,36,2,Rural,272369
2,3,2980,5,2,Rural,338206
4,1,2564,43,1,Suburbs,416466
1,3,1776,17,2,Downtown,325251
1,3,1362,29,3,Suburbs,224444
5,2,1985,21,1,Waterfront,623695
4,2,1716,32,1,Downtown,372689
1,2,1238,29,2,Rural,133585
4,3,2120,16,1,Suburbs,362220
2,2,2133,42,0,Rural,222701
3,1,2885,31,2,Waterfront,827758
1,1,1819,41,3,Waterfront,529842
5,3,2140,13,2,Suburbs,403062
2,3,1667,9,0,Downtown,353207
4,2,2437,46,0,Suburbs,405543
2,3,1938,35,2,Suburbs,335209
1,3,1414,33,2,Downtown,277287
4,1,1993,8,1,Suburbs,340128
3,1,2195,41,2,Suburbs,342365
2,2,2128,27,1,Suburbs,325861
1,3,2523,10,2,Suburbs,418327
5,3,1276,13,2,Downtown,304687
4,1,1579,38,2,Rural,224522
2,3,2320,46,2,Downtown,450431
2,1,1637,18,1,Suburbs,299633
3,2,2120,14,2,Suburbs,378471
3,1,800,27,2,Waterfront,267955
5,3,3358,23,1,Downtown,676994
5,2,1865,7,2,Suburbs,318802
1,1,2597,42,1,Suburbs,395355
1,1,1832,8,2,Downtown,348364
5,2,2207,46,2,Suburbs,361833
5,2,2746,32,3,Rural,366369
4,1,2583,32,0,Rural,312117
3,3,1898,18,2,Downtown,424060
1,1,1932,2,2,Downtown,399469
3,2,2502,9,2,Suburbs,402070
3,1,3167,39,1,Suburbs,490484
5,2,2096,46,2,Downtown,434115
4,2,2979,41,2,Downtown,556541
2,3,1879,0,1,Rural,216286
4,2,2476,28,1,Rural,279856
4,2,2551,49,2,Downtown,511424
3,3,1795,33,2,Suburbs,364401
4,2,1626,12,1,Suburbs,295551
1,3,2573,0,1,Downtown,505215
3,3,1734,33,1,Suburbs,291629
1,2,1553,28,2,Suburbs,269678
2,2,1658,47,2,Waterfront,466687
3,1,1732,46,2,Waterfront,556013
2,3,2428,12,3,Suburbs,414763
3,1,2258,47,2,Suburbs,358224
5,2,2358,48,0,Downtown,487010
4,1,2211,28,0,Suburbs,344785
5,3,1703,38,1,Suburbs,323847
2,1,2349,23,3,Downtown,495843
4,3,2591,25,2,Downtown,531794
3,2,2292,16,1,Downtown,501662
4,2,2225,6,1,Rural,284993
1,3,1616,12,2,Downtown,346099
4,2,2106,4,2,Downtown,483181
1,2,1590,25,1,Suburbs,286597
4,2,1988,48,3,Suburbs,353435
1,2,1180,2,2,Downtown,270314
2,3,1184,6,1,Rural,180218
5,1,1904,48,2,Waterfront,575572
3,1,1726,38,0,Suburbs,240277
4,2,2053,0,3,Suburbs,380858
5,1,1933,48,3,Downtown,378801
3,1,2015,16,2,Suburbs,338984
3,2,2304,42,2,Waterfront,691449
1,2,1768,24,1,Downtown,331993
2,1,1890,2,3,Downtown,395018
2,3,2728,14,2,Suburbs,433093
5,2,2002,28,2,Downtown,450440
2,3,1910,42,3,Rural,205922
4,1,2041,31,3,Downtown,389568
2,2,1919,25,2,Waterfront,574369
5,3,1645,15,1,Suburbs,330582
2,2,1501,24,3,Waterfront,482463
4,1,1618,27,2,Suburbs,266947
1,3,2436,8,3,Suburbs,412508
5,1,1685,0,2,Waterfront,591529
1,1,1923,28,1,Suburbs,299187
1,2,2350,21,1,Suburbs,364764
1,3,1861,15,2,Suburbs,322341
3,1,2317,40,2,Waterfront,646535
3,1,1230,43,1,Suburbs,188061
1,3,1934,40,2,Rural,191639
5,1,2039,6,1,Downtown,466068
4,1,2012,13,2,Suburbs,370476
4,3,1174,28,2,Waterfront,423158
2,3,2602,18,0,Suburbs,387221
5,3,1573,18,1,Waterfront,554702
3,3,2168,1,0,Rural,286470
1,2,2004,40,2,Suburbs,328027
2,3,2502,44,1,Downtown,474830
4,2,3094,14,1,Downtown,630708
3,2,1355,2,3,Waterfront,484659
3,2,1676,10,2,Waterfront,562718
1,1,2095,45,2,Downtown,405292
4,2,1447,29,3,Downtown,327497
5,2,2391,39,0,Downtown,465784
3,1,2422,17,2,Waterfront,722359
1,1,2280,47,2,Suburbs,360176
5,1,2118,1,2,Suburbs,381455
4,3,2685,31,1,Suburbs,435218
3,1,1422,7,2,Waterfront,469471
5,1,2033,21,2,Suburbs,387544
5,2,1631,5,2,Suburbs,320792
5,1,2445,11,1,Downtown,503568
3,3,1083,46,1,Suburbs,198908
3,1,1986,39,1,Waterfront,580189
2,3,2168,35,1,Rural,206777
4,1,1526,14,2,Downtown,353461
1,1,1687,27,1,Downtown,323192
5,1,2008,48,2,Downtown,418108
2,1,2478,44,1,Suburbs,403879
1,3,1484,17,1,Waterfront,468923
2,3,1571,1,2,Downtown,359315
3,2,2563,12,0,Suburbs,401413
5,3,1864,44,2,Suburbs,322213
1,1,1611,14,2,Downtown,341168
1,2,2364,19,1,Suburbs,335607
1,2,1756,28,0,Downtown,320285
1,2,2514,41,1,Suburbs,393353
1,1,1668,28,0,Waterfront,417190
2,3,1920,2,1,Suburbs,334717
5,1,2472,18,1,Downtown,528936
3,2,1887,2,1,Rural,201310
3,1,2378,13,2,Suburbs,434367
3,1,1967,39,2,Waterfront,567654
3,3,2991,3,2,Downtown,621247
2,3,2784,10,1,Downtown,545118
4,2,1336,30,1,Downtown,293462
5,1,2261,42,2,Downtown,441332
1,1,1592,31,2,Suburbs,279479
4,3,2096,26,2,Rural,267172
3,1,2034,29,1,Suburbs,366045
4,1,1472,42,2,Downtown,287867
5,1,2529,1,2,Suburbs,446262
1,3,2102,48,1,Downtown,393288
1,2,1858,8,2,Suburbs,311856
5,2,1781,27,2,Suburbs,342977
5,1,2070,30,1,Waterfront,641392
3,2,2204,33,1,Rural,295907
1,3,1938,14,2,Downtown,390349
4,3,800,47,3,Suburbs,117817
2,2,2008,24,1,Rural,230771
2,2,1279,35,1,Waterfront,407529
5,1,1895,7,1,Suburbs,325325
3,2,1298,8,2,Rural,152925
2,1,1292,36,1,Downtown,233707
1,1,2618,47,3,Rural,264164
5,3,1840,44,1,Downtown,382804
4,3,1802,38,1,Suburbs,332436
5,3,2241,31,2,Waterfront,753567
4,3,1815,16,2,Downtown,353762
5,2,3052,34,2,Suburbs,509216
5,3,1863,36,2,Suburbs,348577
5,2,2183,18,3,Rural,285723
4,3,2485,43,0,Waterfront,769376
4,2,2801,28,2,Waterfront,809690
5,1,1629,6,1,Suburbs,252568
2,2,1791,27,2,Waterfront,583319
3,2,2637,8,2,Suburbs,462663
3,3,2405,27,1,Suburbs,388827
3,2,2538,5,2,Waterfront,784881
4,1,1316,28,0,Suburbs,233212
4,1,2774,16,1,Downtown,541410
2,3,1619,15,2,Downtown,346509
3,1,2096,22,1,Downtown,422803
3,2,1926,30,2,Waterfront,634101
5,1,1561,2,0,Suburbs,307383
4,3,1294,20,1,Waterfront,479494
3,2,1128,25,1,Suburbs,177840
2,3,2060,35,1,Downtown,394368
2,2,1237,41,2,Suburbs,215946
3,1,1433,36,2,Waterfront,407913
4,3,1891,21,3,Suburbs,375784
2,3,800,41,2,Rural,118194
5,2,2389,11,1,Suburbs,413580
2,3,800,41,2,Suburbs,146833
1,2,1961,12,1,Suburbs,341274
1,2,2008,10,1,Rural,210980
4,2,2269,15,2,Waterfront,743822
3,2,1979,7,0,Downtown,395008
