study_hours_per_week,previous_grade,attendance_rate,parent_education,school_type,extracurricular_activities,final_grade
5.3,93.2,63.2,Bachelor,Public,3,55.3
6.7,73.4,89.6,Master,Private,1,69.8
7.8,77.4,48.1,Master,Public,0,66.8
9.2,66.0,99.2,High School,Private,2,55.5
2.8,59.4,53.7,Bachelor,Private,1,60.7
4.8,68.5,72.7,High School,Public,0,43.0
2.1,97.1,73.3,High School,Public,1,36.8
4.0,69.4,83.4,PhD,Public,1,62.5
5.2,80.1,79.8,High School,Private,1,51.7
6.9,63.0,74.7,High School,Public,0,46.6
2.4,56.2,70.9,High School,Private,1,41.5
7.6,100.0,54.5,High School,Public,2,51.7
6.8,100.0,82.2,Bachelor,Public,1,61.5
11.5,56.0,77.5,Master,Public,1,64.6
2.2,66.8,81.5,Bachelor,Public,2,43.3
2.1,53.5,77.2,Master,Public,1,56.0
4.5,67.6,76.9,Bachelor,Private,2,55.3
14.2,52.0,,Bachelor,Public,0,
,68.0,91.3,Bachelor,Public,2,
6.2,57.6,95.4,High School,Private,1,42.9
3.2,100.0,85.0,Master,Private,3,66.6
3.3,83.4,72.8,Bachelor,Private,2,54.0
7.4,82.3,59.5,Master,Public,1,63.5
6.7,67.4,76.2,Master,Public,1,66.2
1.2,67.9,79.3,High School,Public,2,35.2
2.0,63.9,81.4,Bachelor,Private,0,59.5
1.9,72.7,85.3,Master,Public,0,41.9
7.2,81.9,79.9,Bachelor,Public,0,45.4
5.4,76.1,68.0,Master,Public,1,56.8
3.7,88.9,85.9,Bachelor,Public,1,61.0
5.2,73.0,83.2,High School,Public,0,49.6
5.8,83.5,89.3,Bachelor,Public,3,64.8
5.0,70.2,75.6,Bachelor,Public,0,33.0
7.2,76.6,93.8,Master,Public,1,48.0
6.5,55.5,85.5,Bachelor,Public,1,43.5
2.5,69.0,88.1,Master,Public,0,41.4
